"0","0"
"1","0"
"2","0"
"3","0"
"4","0"
"5","0"
"6","0"
"7","0"
"8","0"
"9","0"
"10","0"
"11","0"
"12","0"
"13","0"
"14","0"
"15","0"
"16","0"
"17","0"
"18","0"
"19","0"
"20","0"
"21","0"
"22","0"
"23","0"
"24","0"
"25","0"
"26","0"
"27","0"
"28","0"
"29","1"
"30","0"
"31","0"
"32","0"
"33","0"
"34","0"
"35","2"
"36","1"
"37","1"
"38","1"
"39","0"
"40","5"
"41","0"
"42","5"
"43","2"
"44","1"
"45","6"
"46","1"
"47","0"
"48","10"
"49","10"
"50","7"
"51","5"
"52","6"
"53","3"
"54","9"
"55","4"
"56","8"
"57","9"
"58","11"
"59","0"
"60","5"
"61","4"
"62","4"
"63","1"
"64","2"
"65","1"
"66","0"
"67","1"
"68","1"
"69","0"
"70","1"
"71","0"
"72","0"
"73","0"
"74","0"
"75","0"
"76","0"
"77","0"
"78","0"
"79","0"
"80","0"
"81","0"
"82","0"
"83","0"
"84","0"
"85","0"
"86","0"
"87","0"
"88","0"
"89","0"
"90","0"
"91","0"
"92","0"
"93","0"
"94","0"
"95","0"
"96","0"
"97","0"
"98","0"
"99","0"
"100","0"
